amount,date,category
50,2022-01-01,Entertainment
100,2022-01-01,Food
50,2022-01-03,Personal
13,2022-01-06,Other
125,2022-01-08,Food
36,2022-01-12,Housing
220,2022-01-15,Transport
5,2022-01-15,Food
8,2022-01-16,Personal
48,2022-01-17,Other
25,2022-01-17,Entertainment
156,2022-01-18,Food
30,2022-01-18,Housing
12,2022-01-20,Other
174,2022-01-22,Insurance
300,2022-01-24,Personal
63,2022-01-25,Personal
6500,2022-01-26,Income
2300,2022-01-27,Housing
50,2022-01-29,Insurance
130,2022-01-31,Food
60,2022-02-02,Personal
5,2022-02-04,Food
30,2022-02-05,Other
125,2022-02-09,Food
20,2022-02-10,Housing
5,2022-02-12,Other
70,2022-02-14,Entertainment
220,2022-02-15,Transport
10,2022-02-16,Personal
5,2022-02-17,Other
123,2022-02-19,Food
8,2022-02-20,Personal
174,2022-02-22,Insurance
40,2022-02-23,Other
5,2022-02-25,Entertainment
6500,2022-02-26,Income
2300,2022-02-27,Housing
50,2022-02-28,Insurance
147,2022-02-28,Food
20,2022-03-01,Other
5,2022-03-02,Food
5,2022-03-03,Food
5,2022-03-03,Food
10,2022-03-08,Other
110,2022-03-10,Food
50,2022-03-12,Entertainment
5,2022-03-12,Food
5,2022-03-13,Food
5,2022-03-14,Food
220,2022-03-15,Transport
6,2022-03-17,Other
24,2022-03-18,Other
158,2022-03-21,Food
13,2022-03-21,Other
174,2022-03-22,Insurance
70,2022-03-25,Personal
30,2022-03-26,Personal
6500,2022-03-26,Income
2300,2022-03-27,Housing
50,2022-03-28,Insurance
165,2022-03-31,Food
30,2022-04-02,Other
37,2022-04-02,Personal
5,2022-04-04,Food
154,2022-04-09,Food
50,2022-04-12,Personal
7,2022-04-12,Other
12,2022-04-14,Personal
5,2022-04-14,Food
220,2022-04-15,Transport
600,2022-04-18,Entertainment
24,2022-04-18,Personal
124,2022-04-19,Food
33,2022-04-21,Personal
174,2022-04-22,Insurance
6500,2022-04-26,Income
2300,2022-04-27,Housing
50,2022-04-28,Insurance
135,2022-04-29,Food
80,2022-04-30,Entertainment
45,2022-05-02,Entertainment
8,2022-05-04,Food
40,2022-05-04,Other
30,2022-05-05,Personal
150,2022-05-10,Food
20,2022-05-11,Personal
15,2022-05-11,Transport
30,2022-05-13,Food
220,2022-05-15,Transport
7,2022-05-15,Personal
5,2022-05-16,Other
5,2022-05-17,Other
113,2022-05-20,Food
6,2022-05-20,Personal
8,2022-05-21,Food
174,2022-05-22,Insurance
40,2022-05-23,Other
12,2022-05-24,Personal
6500,2022-05-26,Income
2300,2022-05-27,Housing
50,2022-05-28,Insurance
184,2022-05-28,Food
6,2022-05-29,Food
100,2022-05-30,Personal
20,2022-06-01,Food
12,2022-06-02,Food
5,2022-06-03,Food
6,2022-06-05,Food
10,2022-06-08,Personal
120,2022-06-10,Food
21,2022-06-11,Other
40,2022-06-11,Food
14,2022-06-13,Personal
8,2022-06-14,Food
14,2022-06-15,Food
220,2022-06-15,Transport
6,2022-06-17,Other
24,2022-06-18,Other
5,2022-06-19,Food
147,2022-06-21,Food
7,2022-06-21,Other
174,2022-06-22,Insurance
20,2022-06-25,Personal
10,2022-06-25,Other
30,2022-06-26,Personal
6500,2022-06-26,Income
2300,2022-06-27,Housing
50,2022-06-28,Insurance
133,2022-03-30,Food
50,2022-01-01,Entertainment
100,2022-01-01,Food
50,2022-01-03,Personal
13,2022-01-06,Other
125,2022-01-08,Food
36,2022-01-12,Housing
220,2022-01-15,Transport
5,2022-01-15,Food
8,2022-01-16,Personal
48,2022-01-17,Other
25,2022-01-17,Entertainment
156,2022-01-18,Food
30,2022-01-18,Housing
12,2022-01-20,Other
174,2022-01-22,Insurance
300,2022-01-24,Personal
63,2022-01-25,Personal
6500,2022-01-26,Income
2300,2022-01-27,Housing
50,2022-01-29,Insurance
130,2022-01-31,Food
30,2022-04-02,Other
37,2022-04-02,Personal
5,2022-04-04,Food
154,2022-04-09,Food
50,2022-04-12,Personal
7,2022-04-12,Other
12,2022-04-14,Personal
5,2022-04-14,Food
220,2022-04-15,Transport
600,2022-04-18,Entertainment
24,2022-04-18,Personal
124,2022-04-19,Food
33,2022-04-21,Personal
174,2022-04-22,Insurance
6500,2022-04-26,Income
2300,2022-04-27,Housing
50,2022-04-28,Insurance
135,2022-04-29,Food
80,2022-04-30,Entertainment
45,2022-05-02,Entertainment
8,2022-05-04,Food
40,2022-05-04,Other
30,2022-05-05,Personal
150,2022-05-10,Food
20,2022-05-11,Personal
15,2022-05-11,Transport
30,2022-05-13,Food
220,2022-05-15,Transport
3,2022-05-15,Personal
5,2022-05-16,Other
5,2022-05-17,Other
113,2022-05-20,Food
6,2022-05-20,Personal
8,2022-05-21,Food
174,2022-05-22,Insurance
40,2022-05-23,Other
12,2022-05-24,Personal
6500,2022-05-26,Income
2300,2022-05-27,Housing
50,2022-05-28,Insurance
184,2022-05-28,Food
6,2022-05-29,Food
100,2022-05-30,Personal
20,2022-06-01,Food
12,2022-06-02,Food
13,2022-06-03,Food
6,2022-06-05,Food
10,2022-06-08,Personal
120,2022-06-10,Food
5,2022-06-11,Other
40,2022-06-11,Food
14,2022-06-13,Personal
8,2022-06-14,Food
14,2022-06-15,Food
220,2022-06-15,Transport
6,2022-06-17,Other
24,2022-06-18,Other
5,2022-06-19,Food
147,2022-06-21,Food
7,2022-06-21,Other
174,2022-06-22,Insurance
20,2022-06-25,Personal
10,2022-06-25,Other
30,2022-06-26,Personal
6500,2022-06-26,Income
3500,2022-06-27,Income
2300,2022-06-27,Housing
50,2022-06-28,Insurance
133,2022-06-30,Food
5,2022-06-30,Other
20,2022-07-01,Other
6,2022-07-04,Personal
133,2022-07-09,Food
10,2022-07-10,Entertainment
3,2022-07-11,Other
220,2022-02-15,Transport
5,2022-07-15,Personal
5,2022-07-16,Personal
90,2022-07-18,Food
7,2022-07-19,Other
174,2022-07-22,Insurance
7,2022-07-22,Other
5,2022-07-25,Personal
6500,2022-07-26,Income
2300,2022-07-27,Housing
50,2022-07-28,Insurance
120,2022-07-29,Food
5,2022-07-31,Other
5,2022-08-01,Entertainment
10,2022-08-02,Food
158,2022-08-10,Food
23,2022-08-11,Personal
5,2022-08-12,Other
220,2022-08-15,Transport
7,2022-08-17,Other
43,2022-08-18,Other
158,2022-08-21,Food
13,2022-08-21,Other
174,2022-08-22,Insurance
20,2022-08-23,Personal
30,2022-08-24,Personal
6500,2022-08-26,Income
2300,2022-08-27,Housing
50,2022-08-28,Insurance
16,2022-08-29,Personal
165,2022-08-31,Food
50,2022-09-01,Food
20,2022-09-01,Personal
5,2022-01-03,Other
13,2022-01-06,Other
125,2022-09-09,Food
12,2022-09-12,Housing
220,2022-09-15,Transport
25,2022-09-17,Entertainment
156,2022-09-19,Food
14,2022-09-19,Personal
6,2022-09-20,Other
174,2022-09-22,Insurance
30,2022-09-22,Other
26,2022-09-25,Housing
6500,2022-09-26,Income
2300,2022-09-27,Housing
50,2022-09-28,Insurance
130,2022-09-30,Food
6,2022-09-30,Other
19,2022-10-02,Other
9,2022-10-03,Personal
10,2022-10-07,Food
154,2022-10-10,Food
20,2022-10-11,Entertainment
7,2022-10-12,Other
60,2022-10-13,Personal
5,2022-10-15,Food
220,2022-10-15,Transport
10,2022-10-18,Other
30,2022-10-19,Personal
137,2022-10-20,Food
27,2022-10-21,Personal
174,2022-10-22,Insurance
6500,2022-10-26,Income
2300,2022-10-27,Housing
50,2022-10-28,Insurance
148,2022-10-29,Food
30,2022-10-31,Entertainment
30,2022-11-03,Personal
8,2022-11-03,Food
20,2022-11-04,Other
162,2022-11-10,Food
15,2022-11-11,Personal
70,2022-11-12,Personal
24,2022-11-13,Food
220,2022-11-15,Transport
30,2022-11-15,Personal
46,2022-11-16,Other
13,2022-11-17,Other
113,2022-05-20,Food
16,2022-11-21,Food
174,2022-11-22,Insurance
40,2022-11-30,Other
300,2022-11-24,Personal
6500,2022-11-26,Income
2300,2022-11-27,Housing
50,2022-11-28,Insurance
184,2022-11-29,Food
300,2022-11-30,Other
4,2022-11-30,Food
80,2022-11-30,Personal
37,2022-11-30,Other
20,2022-12-01,Personal
300,2022-12-02,Personal
7,2022-12-03,Food
120,2022-12-08,Food
14,2022-12-11,Other
35,2022-12-12,Personal
53,2022-12-15,Food
220,2022-12-15,Transport
5,2022-12-19,Food
96,2022-12-21,Food
8,2022-12-21,Other
174,2022-12-22,Insurance
30,2022-06-26,Personal
6500,2022-12-26,Income
3500,2022-12-26,Income
2300,2022-12-27,Housing
50,2022-12-28,Insurance
184,2022-12-30,Food
77,2022-12-31,Food
