amount,date,category
200,2022-01-01,Income
20,2022-01-03,Food
5,2022-01-05,Transport
100,2022-01-07,Entertainment
45,2022-01-09,Personal
300,2022-01-11,Income
50,2022-01-13,Food
102,2022-01-15,Other
550,2022-01-17,Housing
78,2022-01-19,Entertainment
700,2022-01-21,Income
205,2022-01-23,Entertainment
50,2022-01-25,Food
25,2022-01-27,Insurance
15,2022-01-29,Transport
600,2022-01-31,Income
75,2022-02-02,Income
28,2022-02-04,Food
10,2022-02-06,Transport
100,2022-02-08,Entertainment
5,2022-02-10,Personal
200,2022-02-12,Income
25,2022-02-14,Food
35,2022-02-16,Entertainment
550,2022-02-18,Housing
18,2022-02-20,Entertainment
920,2022-02-22,Income
116,2022-02-24,Entertainment
5,2022-02-26,Food
12,2022-02-28,Food
275,2022-03-01,Income
17,2022-03-03,Food
5,2022-03-05,Transport
65,2022-03-07,Entertainment
19,2022-03-09,Personal
789,2022-03-11,Income
27,2022-03-13,Food
96,2022-03-15,Entertainment
550,2022-03-17,Housing
120,2022-03-19,Entertainment
450,2022-03-21,Income
50,2022-03-23,Entertainment
23,2022-03-25,Food
25,2022-03-27,Insurance
15,2022-03-29,Transport
320,2022-03-31,Income
54,2022-04-01,Personal
70,2022-04-02,Entertainment
700,2022-04-04,Income
250,2022-04-06,Entertainment
21,2022-04-08,Food
18,2022-04-10,Food
349,2022-04-12,Income
31,2022-04-14,Food
16,2022-04-16,Transport
67,2022-04-18,Entertainment
24,2022-04-20,Personal
914,2022-04-22,Income
12,2022-04-24,Food
197,2022-04-26,Entertainment
550,2022-04-28,Housing
89,2022-04-30,Entertainment
385,2022-05-01,Income
54,2022-05-03,Entertainment
8,2022-05-05,Food
32,2022-05-07,Food
640,2022-05-09,Income
20,2022-05-11,Food
8,2022-05-13,Transport
120,2022-05-15,Other
7,2022-05-17,Personal
813,2022-05-19,Income
14,2022-05-21,Food
125,2022-05-23,Entertainment
550,2022-05-25,Housing
25,2022-05-27,Insurance
12,2022-05-29,Personal
200,2022-06-01,Income
20,2022-06-03,Food
5,2022-06-05,Transport
100,2022-06-07,Entertainment
45,2022-06-09,Personal
300,2022-06-11,Income
50,2022-06-13,Food
102,2022-06-15,Entertainment
550,2022-06-17,Housing
78,2022-06-19,Entertainment
700,2022-06-21,Income
205,2022-06-23,Entertainment
50,2022-06-25,Food
25,2022-06-27,Insurance
15,2022-06-29,Transport
600,2022-06-30,Income
75,2022-07-02,Income
28,2022-07-04,Food
10,2022-07-06,Transport
100,2022-07-08,Entertainment
5,2022-07-10,Personal
200,2022-07-12,Income
25,2022-07-14,Food
35,2022-07-16,Other
550,2022-07-18,Housing
18,2022-07-20,Entertainment
920,2022-07-22,Income
116,2022-07-24,Entertainment
25,2022-07-26,Insurance
12,2022-07-28,Food
275,2022-08-01,Income
17,2022-08-04,Food
5,2022-08-05,Transport
65,2022-08-07,Entertainment
19,2022-08-08,Personal
789,2022-08-11,Income
27,2022-08-13,Food
96,2022-08-15,Entertainment
550,2022-08-17,Housing
120,2022-08-19,Entertainment
450,2022-08-20,Income
50,2022-08-23,Entertainment
23,2022-08-25,Food
25,2022-08-27,Insurance
15,2022-08-29,Transport
320,2022-08-30,Income
5,2022-08-31,Transport
200,2022-09-01,Income
20,2022-09-03,Food
5,2022-09-05,Transport
100,2022-09-06,Entertainment
45,2022-09-07,Personal
300,2022-09-11,Income
50,2022-09-13,Food
102,2022-09-15,Entertainment
550,2022-09-17,Housing
78,2022-09-19,Entertainment
700,2022-09-20,Income
205,2022-09-21,Entertainment
50,2022-09-25,Food
25,2022-09-27,Insurance
15,2022-09-29,Transport
600,2022-09-30,Income
70,2022-10-02,Entertainment
700,2022-10-04,Income
250,2022-10-06,Entertainment
21,2022-10-07,Food
18,2022-10-10,Food
429,2022-10-12,Income
33,2022-10-14,Food
14,2022-10-16,Transport
76,2022-10-18,Entertainment
42,2022-10-20,Personal
1900,2022-10-22,Income
12,2022-10-24,Food
187,2022-10-26,Entertainment
550,2022-10-28,Housing
73,2022-10-30,Entertainment
420,2022-11-01,Income
49,2022-11-03,Other
12,2022-11-05,Food
32,2022-11-07,Food
720,2022-11-09,Income
20,2022-11-11,Food
8,2022-11-13,Transport
120,2022-11-15,Entertainment
7,2022-11-17,Personal
989,2022-11-19,Income
14,2022-11-21,Food
134,2022-11-23,Entertainment
550,2022-11-25,Housing
53,2022-11-27,Insurance
15,2022-11-29,Personal
375,2022-12-01,Income
25,2022-12-02,Food
5,2022-12-05,Transport
65,2022-12-07,Entertainment
19,2022-12-09,Personal
789,2022-12-11,Income
27,2022-12-13,Food
96,2022-12-15,Entertainment
550,2022-12-18,Housing
120,2022-12-19,Entertainment
1234,2022-12-21,Income
50,2022-12-23,Entertainment
34,2022-12-25,Insurance
34,2022-12-27,Food
15,2022-12-29,Transport
320,2022-12-31,Other
